subj,trg,trial,id,block,snr,cond,pa,pd,pa_pfe,pd_pfe,fd_int,fd,sgd_int,sgd_i,sgd
1,15,1,1,1,5,1,1126.759,4838.667,175.5635,407.9588,0.3079439,0.3405972,1.387011,1.354307,1.400801
1,11,2,2,1,1,1,1340.115,5285.033,442.4096,987.833,0.3604004,0.379902,1.470023,1.412451,1.446525
1,14,3,3,1,4,1,1304.055,5213.914,365.9226,815.0775,0.31694,0.3670071,1.475414,1.450393,1.378491
1,12,4,4,1,2,1,1189.709,4978.164,228.1018,523.9737,0.3419627,0.3587983,1.407788,1.372311,1.45883
1,15,5,5,1,5,1,1136.534,4864.325,175.0748,409.5935,0.4370323,0.4981402,1.337504,1.287583,1.214784
1,13,6,6,1,3,1,1054.386,4681.279,126.4006,305.7754,0.3266777,0.3475282,1.301457,1.254722,1.207588
1,15,7,7,1,5,1,954.8519,4448.512,38.42645,104.5743,0.3122478,0.2930721,1.423885,1.401967,1.458418
1,13,8,8,1,3,1,879.1434,4279.217,-37.85612,-69.6281,0.220159,0.2147628,1.463385,1.452056,1.460852
1,11,9,9,1,1,1,788.3326,4049.671,-106.0502,-240.0265,0.1741636,0.1754564,1.427092,1.424322,1.418157
1,14,10,10,1,4,1,871.169,4257.906,-70.42018,-148.3384,0.2470453,0.2426904,1.357875,1.336115,1.356358
1,12,11,11,1,2,1,864.1671,4240.499,-49.57292,-98.3515,0.2007284,0.2052621,1.413563,1.39745,1.37947
1,15,12,12,1,5,1,799.0621,4076.607,-138.3092,-320.9134,0.1955177,0.1858246,1.480823,1.473493,1.486639
1,12,13,13,1,2,1,693.3216,3795.922,-224.0142,-551.8063,0.2108696,0.2158064,1.376415,1.357035,1.368678
1,13,14,14,1,3,1,785.0131,4029.225,-157.8308,-379.9486,0.2036411,0.2091051,1.369049,1.340187,1.370425
1,14,15,15,1,4,1,832.0703,4152.501,-76.87003,-172.675,0.1884451,0.1917796,1.447277,1.425835,1.413934
1,11,16,16,1,1,1,770.2095,3999.874,-129.023,-300.0369,0.2225856,0.2218144,1.300879,1.26413,1.242341
1,13,17,17,1,3,1,913.2328,4348.148,-31.94039,-67.44197,0.2511223,0.2484886,1.350893,1.340565,1.34522
1,11,18,18,1,1,1,781.4391,4029.503,-151.0961,-353.9239,0.2200557,0.2096734,1.186684,1.166873,1.082468
1,12,19,19,1,2,1,861.4352,4235.102,-92.0255,-199.9748,0.2175623,0.2108459,1.340405,1.291525,1.373489
1,15,20,20,1,5,1,856.6544,4216.672,-80.2412,-177.4182,0.2390247,0.2512985,1.427635,1.35124,1.314096
1,14,21,21,1,4,1,935.5182,4402.594,3.542161,20.12746,0.3047509,0.2691446,1.329042,1.285499,1.38637
1,15,22,22,1,5,1,900.4496,4301.698,-11.15817,-28.97044,0.2333293,0.2140808,1.460048,1.443401,1.545655
1,25,1,23,2,5,2,1159.083,4909.026,328.8025,778.2664,0.2867577,0.2948168,1.683125,1.678624,1.734065
1,21,2,24,2,1,2,987.2727,4529.285,178.7556,458.8255,0.287086,0.3091729,1.681545,1.674881,1.666603
1,24,3,25,2,4,2,1106.086,4779.67,258.0595,610.1559,0.7616919,0.7964099,0.9873362,0.9718153,0.9235401
1,22,4,26,2,2,2,1063.304,4708.394,216.3052,534.8178,0.8558716,0.9071676,0.8564947,0.821242,0.7834347
1,25,5,27,2,5,2,967.1737,4489.555,140.3192,367.8748,0.1832743,0.1945087,1.757553,1.706578,1.789459
1,23,6,28,2,3,2,798.1368,4067.694,-23.0253,-40.53536,0.1969534,0.1993121,1.617224,1.609823,1.624821
1,25,7,29,2,5,2,767.6763,3987.678,-86.18598,-202.3169,0.1761567,0.1731139,1.495479,1.491886,1.512844
1,23,8,30,2,3,2,871.7616,4253.708,12.21005,48.30785,0.1894414,0.1795038,1.457918,1.437193,1.469112
1,21,9,31,2,1,2,652.3469,3686.142,-170.5394,-423.0521,0.1220314,0.1226918,1.838644,1.836378,1.837933
1,24,10,32,2,4,2,850.6765,4191.652,22.99821,70.81174,0.214916,0.2122842,1.750301,1.721699,1.779538
1,22,11,33,2,2,2,910.9661,4357.514,74.05114,209.0088,0.5209655,0.5826702,1.147327,1.017824,0.9161227
1,25,12,34,2,5,2,792.4014,4056.545,-34.15357,-62.52057,0.1956607,0.2042416,1.481908,1.387103,1.533574
1,22,13,35,2,2,2,771.5448,3997.208,-66.5326,-151.6829,0.1791853,0.1660061,1.591937,1.57943,1.62587
1,23,14,36,2,3,2,593.9674,3514.822,-245.1725,-635.5374,0.1252421,0.1268918,1.633609,1.620463,1.625785
1,24,15,37,2,4,2,825.0449,4133.382,-11.10782,-11.96194,0.2813643,0.2741631,1.41548,1.380436,1.442665
1,21,16,38,2,1,2,704.9557,3810.364,-72.5443,-181.9666,0.1671701,0.1655854,1.530726,1.497568,1.557321
1,23,17,39,2,3,2,549.0055,3364.66,-273.3479,-741.885,0.1228887,0.1186033,1.598601,1.576251,1.599321
1,21,18,40,2,1,2,684.7277,3768.575,-145.8128,-360.3874,0.1188111,0.1216471,1.642077,1.589514,1.622932
1,22,19,41,2,2,2,752.5081,3956.866,-96.46265,-217.906,0.1301509,0.1108407,1.638071,1.596666,1.770126
1,25,20,42,2,5,2,1005.785,4572.816,145.9181,369.2144,0.2011024,0.1958555,1.500533,1.415026,1.67702
1,24,21,43,2,4,2,804.149,4066.192,8.988603,30.11931,0.164874,0.1309749,1.705287,1.65377,1.786012
1,25,22,44,2,5,2,713.854,3836.381,-128.9268,-322.6832,0.1431854,0.1455067,1.672383,1.638596,1.711808
2,15,1,1,1,5,1,1665.005,5856.333,21.90263,43.51553,0.1677677,0.166313,1.517952,1.488486,1.553634
2,15,2,2,1,5,1,1633.98,5804.001,-24.89223,-36.65439,0.1707066,0.1756658,1.616265,1.599236,1.592781
2,12,3,3,1,2,1,1884.889,6251.075,222.2054,399.9578,0.1899397,0.1871098,1.463954,1.457972,1.466023
2,11,4,4,1,1,1,1314.389,5205.657,-343.9427,-628.1254,0.125974,0.1138705,1.540973,1.520427,1.53674
2,13,5,5,1,3,1,2042.455,6518.77,368.583,649.1951,0.2239143,0.2322701,1.356429,1.344675,1.340157
2,14,6,6,1,4,1,1516.277,5599.326,-156.7337,-267.7661,0.1750594,0.171689,1.509337,1.499298,1.520502
2,13,7,7,1,3,1,1324.443,5241.111,-344.827,-621.2057,0.1496447,0.148484,1.623265,1.610164,1.641821
2,14,8,8,1,4,1,1553.715,5631.202,-95.93299,-185.8397,0.1459193,0.1472217,1.537241,1.518137,1.536495
2,11,9,9,1,1,1,1824.196,6151.701,122.0782,226.3888,0.1658443,0.1668396,1.466289,1.451007,1.418122
2,15,10,10,1,5,1,1230.899,5017.191,-352.1479,-667.3372,0.1115606,0.09435504,1.645231,1.537113,1.569596
2,12,11,11,1,2,1,1736.298,5959.313,71.47191,112.2433,0.171622,0.1839929,1.49493,1.463058,1.427225
2,14,12,12,1,4,1,1221.733,5020.96,-384.3879,-725.9023,0.1961374,0.08523321,1.574264,1.540083,1.617668
